Date,Open,High,Low,Close,Adj Close,Volume
2/28/2019,17.8479,18.3001,17.817699,18.028799,18.028799,68245473
3/1/2019,18.330299,18.360399,17.8479,18.028799,18.028799,44775494
3/5/2019,18.028799,18.3906,17.8479,17.9685,17.9685,49061344
3/6/2019,18.0891,19.234699,18.028799,18.8428,18.8428,95280251
3/7/2019,19.053801,19.9583,18.8729,19.295,19.295,108759380
3/8/2019,19.295,19.7472,19.1141,19.6266,19.6266,49120667
3/11/2019,19.7472,20.923,19.656799,20.6215,20.6215,75926468
3/12/2019,20.802401,20.953199,20.2899,20.6215,20.6215,64190254
3/13/2019,20.772301,21.2848,20.1693,20.4708,20.4708,91776033
3/14/2019,20.5009,20.7421,20.199499,20.3804,20.3804,28746619
3/15/2019,20.4708,20.651699,20.2899,20.4708,20.4708,27056255
3/18/2019,20.4708,20.561199,19.295,19.475901,19.475901,34225081
3/19/2019,19.506001,19.656799,18.812599,19.325199,19.325199,38790805
3/20/2019,19.295,20.199499,17.8479,19.9583,19.9583,215376684
3/22/2019,19.9583,20.078899,19.234699,19.4156,19.4156,79960239
3/25/2019,19.355301,19.355301,18.1192,18.239799,18.239799,88595223
3/26/2019,18.239799,18.360399,17.6971,17.8479,17.8479,66811828
3/27/2019,17.636801,17.817699,17.063999,17.184601,17.184601,87204737
3/28/2019,17.2148,18.0891,17.033899,17.486099,17.486099,207915008
4/1/2019,18.25,18.25,17.65,17.75,17.75,44374809
4/2/2019,17.9,17.9,16.6,16.75,16.75,61660301
4/3/2019,16.450001,16.950001,15.8,15.9,15.9,61979681
4/4/2019,15.9,15.95,14.9,15.15,15.15,115062504
4/5/2019,15.05,16.700001,15.05,16.299999,16.299999,163072526
4/8/2019,16.700001,17.450001,16.549999,17.299999,17.299999,109448159
4/9/2019,17.5,17.700001,16.799999,16.950001,16.950001,57008691
4/10/2019,17.049999,17.15,16.299999,16.35,16.35,67257100
4/11/2019,16.4,16.450001,15.9,16.25,16.25,47799330
4/12/2019,16.299999,16.450001,15.9,16.049999,16.049999,42481657
4/15/2019,16.049999,17.35,15.8,17,17,73466485
4/16/2019,17,18.15,16.75,17.950001,17.950001,119864982
4/18/2019,18.1,18.15,16.950001,17.25,17.25,73204505
4/22/2019,17.35,17.4,16.85,17.15,17.15,55102622
4/23/2019,17.15,17.25,16.85,17.049999,17.049999,34255032
4/24/2019,17.25,17.75,17,17.15,17.15,52632586
4/25/2019,16.75,17.25,16.299999,16.85,16.85,69215591
4/26/2019,16.75,16.85,16.049999,16.25,16.25,35364872
4/30/2019,16.1,16.200001,15.25,15.45,15.45,33729371
5/2/2019,15.35,16.549999,15.15,16.200001,16.200001,62636435
5/3/2019,16.25,16.5,15.9,16.15,16.15,26630328
5/6/2019,17.15,17.15,16.25,16.35,16.35,45839027
5/7/2019,16.4,16.6,15.5,15.6,15.6,36754853
5/8/2019,15.4,15.4,13.65,14.3,14.3,240357694
5/9/2019,14.2,14.5,13.95,14.3,14.3,157917034
5/10/2019,14.3,14.3,13.55,14.05,14.05,229057148
5/13/2019,14.05,15,14.05,14.45,14.45,200282034
5/14/2019,14.45,14.55,13,14,14,243253187
5/15/2019,14.05,14.15,12.8,12.9,12.9,148791000
5/16/2019,13,13,12.05,12.2,12.2,161982330
5/17/2019,12.4,12.45,11.6,11.85,11.85,180983160
5/20/2019,12.25,13,11.8,12.55,12.55,137707027
5/21/2019,12.6,12.65,11.7,11.8,11.8,94310446
5/22/2019,11.85,12.3,11.5,12.15,12.15,133499642
5/23/2019,12.3,13,12.25,12.75,12.75,132685065
5/24/2019,12.85,13.25,12.55,12.85,12.85,91577582
5/27/2019,12.65,13.25,12.6,13.05,13.05,99540754
5/28/2019,13.05,13.8,13,13.65,13.65,170049972
5/29/2019,13.7,13.75,13.15,13.2,13.2,50735753
5/30/2019,13.2,13.65,12.95,13.3,13.3,273542405
5/31/2019,13.6,14.05,13.45,13.95,13.95,151171664
6/3/2019,13.95,14.15,13.8,14,14,55031122
6/4/2019,14.05,14.4,13.8,13.85,13.85,64187215
6/6/2019,13.9,14,13.2,13.45,13.45,69427339
6/7/2019,13.45,13.55,13.2,13.4,13.4,35136898
6/10/2019,13.3,13.55,12.65,12.8,12.8,49800929
6/11/2019,12.95,13.25,12.6,13.15,13.15,43370155
6/12/2019,13.15,13.2,12.8,12.85,12.85,22813410
6/13/2019,12.8,13.05,12.75,12.9,12.9,32447299
6/14/2019,12.85,12.9,12.3,12.5,12.5,35801366
6/17/2019,12.45,12.45,12,12.1,12.1,34319913
6/18/2019,12,12.1,11.8,11.95,11.95,37194394
6/19/2019,11.95,12.25,11.1,11.4,11.4,50447027
6/20/2019,11.3,11.95,11.25,11.9,11.9,33264078
